ADAM PanCancer Core-Fitness genes,ensemble_id
PRPF8,ENSG00000174231
PSMA1,ENSG00000129084
PSMA2,ENSG00000106588
PSMA3,ENSG00000100567
PSMA4,ENSG00000041357
PSMA5,ENSG00000143106
PSMA7,ENSG00000101182
PSMB2,ENSG00000126067
PSMB3,ENSG00000277791
PSMB4,ENSG00000159377
PSMB5,ENSG00000100804
PSMB6,ENSG00000142507
PSMC1,ENSG00000100764
PSMC3,ENSG00000165916
PSMC4,ENSG00000013275
PSMD1,ENSG00000173692
PSMD12,ENSG00000197170
PSMD14,ENSG00000115233
PSMD2,ENSG00000175166
PSMD3,ENSG00000108344
QARS,ENSG00000172053
RAN,ENSG00000132341
RBM14,ENSG00000239306
RBM17,ENSG00000134453
RBM25,ENSG00000119707
RBMX,ENSG00000147274
RFC4,ENSG00000163918
RPA1,ENSG00000132383
RPA2,ENSG00000117748
RPA3,ENSG00000106399
RPL10A,ENSG00000198755
RPL11,ENSG00000142676
RPL12,ENSG00000197958
RPL13,ENSG00000167526
RPL13A,ENSG00000142541
RPL14,ENSG00000188846
RPL15,ENSG00000174748
RPL17,ENSG00000265681
RPL18,ENSG00000063177
RPL18A,ENSG00000105640
RPL19,ENSG00000108298
RPL21,ENSG00000122026
RPL22,ENSG00000116251
RPL23,ENSG00000125691
RPL23A,ENSG00000198242
RPL26,ENSG00000161970
RPL27,ENSG00000131469
RPL27A,ENSG00000166441
RPL3,ENSG00000100316
RPL30,ENSG00000156482
RPL31,ENSG00000071082
RPL32,ENSG00000144713
RPL34,ENSG00000109475
RPL35,ENSG00000136942
RPL35A,ENSG00000182899
RPL36,ENSG00000130255
RPL36A,ENSG00000241343
RPL37A,ENSG00000197756
RPL38,ENSG00000172809
RPL4,ENSG00000174444
RPL5,ENSG00000122406
RPL6,ENSG00000089009
RPL7,ENSG00000147604
RPL8,ENSG00000161016
RPLP0,ENSG00000089157
RPLP2,ENSG00000177600
RPS11,ENSG00000142534
RPS12,ENSG00000112306
RPS13,ENSG00000110700
RPS14,ENSG00000164587
RPS15,ENSG00000115268
RPS15A,ENSG00000134419
RPS16,ENSG00000105193
RPS18,ENSG00000231500
RPS19,ENSG00000105372
RPS2,ENSG00000140988
RPS20,ENSG00000008988
RPS21,ENSG00000171858
RPS23,ENSG00000186468
RPS24,ENSG00000138326
RPS27A,ENSG00000143947
RPS28,ENSG00000233927
RPS3,ENSG00000149273
RPS4X,ENSG00000198034
RPS5,ENSG00000083845
RPS6,ENSG00000137154
RPS7,ENSG00000171863
RPS8,ENSG00000142937
RPS9,ENSG00000170889
RPSA,ENSG00000168028
RRM1,ENSG00000167325
RUVBL2,ENSG00000183207
SARS,ENSG00000031698
SDAD1,ENSG00000198301
SF3A1,ENSG00000099995
SF3A2,ENSG00000104897
SF3A3,ENSG00000183431
SF3B2,ENSG00000087365
SF3B3,ENSG00000189091
SF3B4,ENSG00000143368
SF3B5,ENSG00000169976
SKIV2L2,ENSG00000039123
SLU7,ENSG00000164609
SNRNP200,ENSG00000144028
SNRNP27,ENSG00000124380
SNRNP70,ENSG00000104852
SNRPA1,ENSG00000131876
SNRPB,ENSG00000125835
SNRPD1,ENSG00000167088
SNRPD2,ENSG00000125743
SNRPD3,ENSG00000100028
SNRPF,ENSG00000139343
SNRPG,ENSG00000143977
SNW1,ENSG00000100603
SRSF1,ENSG00000136450
SUPT6H,ENSG00000109111
TFIP11,ENSG00000100109
TOMM40,ENSG00000130204
TUBB,ENSG00000196230
TUBGCP2,ENSG00000130640
TXNL4A,ENSG00000141759
U2AF1,ENSG00000160201
U2AF2,ENSG00000063244
UBA1,ENSG00000130985
UBB,ENSG00000170315
USP39,ENSG00000168883
VCP,ENSG00000165280
WDR12,ENSG00000138442
WDR33,ENSG00000136709
XAB2,ENSG00000076924
AAMP,ENSG00000127837
ABCB7,ENSG00000131269
ABCE1,ENSG00000164163
ACTR10,ENSG00000131966
ACTR2,ENSG00000138071
AFG3L2,ENSG00000141385
ALG11,ENSG00000253710
ALG1L,ENSG00000189366
ANAPC1,ENSG00000153107
ANAPC2,ENSG00000176248
ANKLE2,ENSG00000176915
AQR,ENSG00000021776
ARL2,ENSG00000213465
ATP2A2,ENSG00000174437
ATP6V0C,ENSG00000185883
ATP6V1A,ENSG00000114573
ATP6V1B2,ENSG00000147416
ATP6V1E1,ENSG00000131100
AURKB,ENSG00000178999
BANF1,ENSG00000175334
BCL2L2-PABPN1,
BIRC5,ENSG00000089685
BRF1,ENSG00000185024
BRF2,ENSG00000104221
BUB3,ENSG00000154473
C21orf59,ENSG00000159079
C9orf114,
CACTIN,ENSG00000105298
CARS,ENSG00000110619
CBWD1,ENSG00000172785
CCDC94,ENSG00000105248
CCT2,ENSG00000166226
CCT5,ENSG00000150753
CDC123,ENSG00000151465
CDC16,ENSG00000130177
CDC20,ENSG00000117399
CDC23,ENSG00000094880
CDC27,ENSG00000004897
CDC45,ENSG00000093009
CDC6,ENSG00000094804
CDC7,ENSG00000097046
CDC73,ENSG00000134371
CDK1,ENSG00000170312
CDK11A,ENSG00000008128
CDK9,ENSG00000136807
CDT1,ENSG00000167513
CENPC,ENSG00000145241
CENPK,ENSG00000123219
CENPM,ENSG00000100162
CENPN,ENSG00000166451
CENPW,ENSG00000203760
CHAF1B,ENSG00000159259
CHEK1,ENSG00000149554
CKAP5,ENSG00000175216
CLP1,ENSG00000172409
COPS2,ENSG00000166200
COPS5,ENSG00000121022
CPSF3L,ENSG00000127054
CRNKL1,ENSG00000101343
CSTF3,ENSG00000176102
CTCF,ENSG00000102974
CTDP1,ENSG00000060069
CWC22,ENSG00000163510
DAD1,ENSG00000129562
DBR1,ENSG00000138231
DDX10,ENSG00000178105
DDX47,ENSG00000213782
DDX56,ENSG00000136271
DHDDS,ENSG00000117682
DHFRL1,
DHX16,ENSG00000204560
DHX37,ENSG00000150990
DHX9,ENSG00000135829
DTL,ENSG00000143476
DTYMK,ENSG00000168393
DUT,ENSG00000128951
ECD,ENSG00000122882
EEF1A1,ENSG00000156508
EIF1,ENSG00000173812
EIF1AX,ENSG00000173674
EIF2B5,ENSG00000145191
EIF2S1,ENSG00000134001
EIF2S3,ENSG00000130741
EIF5,ENSG00000100664
ELL,ENSG00000105656
EPRS,ENSG00000136628
ERCC3,ENSG00000163161
ESPL1,ENSG00000135476
EXOSC3,ENSG00000107371
EXOSC7,ENSG00000075914
FAM86B1,ENSG00000186523
FARSA,ENSG00000179115
FARSB,ENSG00000116120
FBXO5,ENSG00000112029
FCF1,ENSG00000119616
GARS,ENSG00000106105
GBF1,ENSG00000107862
GINS1,ENSG00000101003
GINS2,ENSG00000131153
GNB2L1,
GPN1,ENSG00000198522
GPN2,ENSG00000142751
GRPEL1,ENSG00000109519
GSPT1,ENSG00000103342
GTF2A2,ENSG00000140307
GTF2B,ENSG00000137947
GTF2E1,ENSG00000153767
GTF2E2,ENSG00000197265
GTPBP4,ENSG00000107937
HAUS3,ENSG00000214367
HAUS4,ENSG00000092036
HCFC1,ENSG00000172534
HINFP,ENSG00000172273
IARS,ENSG00000196305
IGBP1,ENSG00000089289
IMP3,ENSG00000177971
INTS2,ENSG00000108506
INTS4,ENSG00000149262
KANSL2,ENSG00000139620
KAT8,ENSG00000103510
KIF11,ENSG00000138160
KIF23,ENSG00000137807
KIN,ENSG00000151657
KRTAP4-11,ENSG00000212721
KRTAP5-10,ENSG00000204572
KRTAP5-6,ENSG00000205864
KRTAP9-4,ENSG00000241595
LARS,ENSG00000133706
LCE1A,ENSG00000186844
LCE1E,ENSG00000186226
LCE1F,ENSG00000240386
LSM2,ENSG00000204392
LSM3,ENSG00000170860
LSM5,ENSG00000106355
LSM7,ENSG00000130332
MAD2L1,ENSG00000164109
MAK16,ENSG00000198042
MARS,ENSG00000166986
MASTL,ENSG00000120539
MCM3AP,ENSG00000160294
MCM6,ENSG00000076003
MDN1,ENSG00000112159
MED11,ENSG00000161920
MED20,ENSG00000124641
MED27,ENSG00000160563
MED28,ENSG00000118579
MED31,ENSG00000108590
MED4,ENSG00000136146
MED6,ENSG00000133997
MEPCE,ENSG00000146834
MFAP1,ENSG00000140259
MPHOSPH10,ENSG00000124383
MTBP,ENSG00000172167
MZT1,ENSG00000204899
NAA50,ENSG00000121579
NARFL,ENSG00000103245
NARS,ENSG00000134440
NAT10,ENSG00000135372
NCAPG,ENSG00000109805
NCBP2,ENSG00000114503
NDC80,ENSG00000080986
NEDD1,ENSG00000139350
NIFK,ENSG00000155438
NIP7,ENSG00000132603
NKAP,ENSG00000101882
NMD3,ENSG00000169251
NOL10,ENSG00000115761
NOP16,ENSG00000048162
NOP56,ENSG00000101361
NOP58,ENSG00000055044
NPIPA5,ENSG00000183793
NPLOC4,ENSG00000182446
NRDE2,ENSG00000119720
NRF1,ENSG00000106459
NSA2,ENSG00000164346
NSF,ENSG00000073969
NSL1,ENSG00000117697
NUBP1,ENSG00000103274
NUF2,ENSG00000143228
NUP155,ENSG00000113569
NUP160,ENSG00000030066
NUP214,ENSG00000126883
NUS1,ENSG00000153989
ORC6,ENSG00000091651
PAM16,ENSG00000217930
PCBP1,ENSG00000169564
PCID2,ENSG00000126226
PCNA,ENSG00000132646
PDCD7,ENSG00000090470
PES1,ENSG00000100029
PGAM4,ENSG00000226784
PHAX,ENSG00000164902
PISD,ENSG00000241878
PKMYT1,ENSG00000127564
PLK1,ENSG00000166851
PMF1-BGLAP,
POLA2,ENSG00000014138
POLD3,ENSG00000077514
POLE,ENSG00000177084
PPIL2,ENSG00000100023
PPP1CB,ENSG00000213639
PPWD1,ENSG00000113593
PRC1,ENSG00000198901
PRELID1,ENSG00000169230
PRMT1,ENSG00000126457
PRPF38B,ENSG00000134186
PRPF4,ENSG00000136875
PRPF40A,ENSG00000196504
PRPF6,ENSG00000101161
PSMA6,ENSG00000100902
PSMB1,ENSG00000008018
PSMB7,ENSG00000136930
PSMC6,ENSG00000100519
PSMD11,ENSG00000108671
PSMD6,ENSG00000163636
PUF60,ENSG00000179950
PWP2,ENSG00000241945
RABGGTB,ENSG00000137955
RACGAP1,ENSG00000161800
RAD51,ENSG00000051180
RANGAP1,ENSG00000100401
RBBP6,ENSG00000122257
RBX1,ENSG00000100387
RCC1,ENSG00000180198
RFC5,ENSG00000111445
RGPD6,ENSG00000183054
RIOK1,ENSG00000124784
RIOK2,ENSG00000058729
RNF113A,ENSG00000125352
RNGTT,ENSG00000111880
RNPS1,ENSG00000205937
RPAP1,ENSG00000103932
RPF2,ENSG00000197498
RPL7L1,ENSG00000146223
RPLP1,ENSG00000137818
RRM2,ENSG00000171848
RRN3,ENSG00000085721
RSL1D1,ENSG00000171490
RSL24D1,ENSG00000137876
RTFDC1,ENSG00000022277
SACM1L,ENSG00000211456
SAP18,ENSG00000150459
SAP30BP,ENSG00000161526
SART3,ENSG00000075856
SCFD1,ENSG00000092108
SDE2,ENSG00000143751
SEC13,ENSG00000157020
SEC61G,ENSG00000132432
SF1,ENSG00000168066
SF3B14,
SFPQ,ENSG00000116560
SLMO2,
SMC4,ENSG00000113810
SMU1,ENSG00000122692
SNAPC1,ENSG00000023608
SNAPC3,ENSG00000164975
SNRPE,ENSG00000182004
SPC24,ENSG00000161888
SPC25,ENSG00000152253
SPDL1,ENSG00000040275
SRP19,ENSG00000153037
SRP54,ENSG00000100883
SRSF2,ENSG00000161547
SRSF3,ENSG00000112081
SRSF7,ENSG00000115875
SS18L2,ENSG00000008324
SSRP1,ENSG00000149136
SSU72,ENSG00000160075
SUPT16H,ENSG00000092201
SYMPK,ENSG00000125755
TARS,ENSG00000113407
TCEB1,ENSG00000154582
TCP1,ENSG00000120438
THOC2,ENSG00000125676
THOC3,ENSG00000051596
THOC5,ENSG00000100296
TICRR,ENSG00000140534
TNPO3,ENSG00000064419
TONSL,ENSG00000160949
TOP1,ENSG00000198900
TOP2A,ENSG00000131747
TOP3A,ENSG00000177302
TOPBP1,ENSG00000163781
TRAPPC11,ENSG00000168538
TRAPPC2,ENSG00000196459
TRAPPC3,ENSG00000054116
TRAPPC8,ENSG00000153339
TRMT112,ENSG00000173113
TSG101,ENSG00000074319
TSR2,ENSG00000158526
TTC1,ENSG00000113312
TTC27,ENSG00000018699
TUBA1C,ENSG00000167553
TUBG1,ENSG00000131462
TUBGCP3,ENSG00000126216
TUBGCP4,ENSG00000137822
TUT1,ENSG00000149016
TWISTNB,ENSG00000105849
U2SURP,ENSG00000163714
UBA52,ENSG00000221983
UBE2I,ENSG00000103275
UBL5,ENSG00000198258
UBTF,ENSG00000108312
UFD1L,ENSG00000070010
UPF1,ENSG00000005007
UPF2,ENSG00000151461
USPL1,ENSG00000132952
UTP15,ENSG00000164338
UTP20,ENSG00000120800
UXT,ENSG00000126756
VARS,ENSG00000204394
VPS25,ENSG00000131475
VPS28,ENSG00000160948
WARS,ENSG00000140105
WBSCR22,ENSG00000071462
WDR43,ENSG00000163811
WDR70,ENSG00000082068
WDR75,ENSG00000115368
WEE1,ENSG00000166483
XRCC6,ENSG00000196419
YARS,ENSG00000134684
YBX1,ENSG00000065978
